x,y,h
405294.03,5015195.96,4.805315
405280.55,5015180.59,10.19138
405283.48,5015170.12,10.84519
405339.7,5015195.89,6.418499
405312.55,5015177.98,17.11834
405320.12,5015182.29,11.56091
405311.78,5015173.63,19.1216
405369.24,5015188.64,10.2934
405354.1,5015179.19,0.3641247
405359.72,5015174.72,10.09836
405373.47,5015180.44,8.673134
405368.64,5015162.38,10.6526
405406.03,5015062.69,15.06899
405398.9,5015054.41,15.66393
405407.99,5015047.24,10.56696
405405.82,5015029.29,12.86643
405439.94,5015061.85,11.56308
405438.22,5015058.32,13.30729
405443.12,5015057.84,13.23552
405449.21,5015052.6,11.93556
405461.03,5015059.63,14.15036
405445.21,5015048.93,13.80651
405453.08,5015048.83,8.288887
405478.35,5015058.2,9.059031
405454.14,5015039.56,18.168
405481.77,5015051.17,4.819766
405472.82,5015046.8,12.21487
405456.31,5015035.64,15.8255
405469.23,5015039.78,11.6027
405466.48,5015031.79,12.02694
405478.73,5015037.92,8.47294
405476.08,5015031.71,11.89242
405457.09,5015018.32,16.35497
405482.03,5015016.47,9.849723
405490.29,5015020.02,6.491634
405461.62,5015001.66,13.90616
405486.57,5015014.04,9.633642
405496.75,5015000.5,7.675693
405495.16,5015005.66,8.051573
405492.98,5015009.36,11.46583
405470.21,5015000.82,12.94181
405426.51,5015112.81,14.97925
405436.33,5015112.17,15.22213
405435.15,5015065.53,13.63339
405427.16,5015067.33,14.00364
405437.06,5015083.27,10.76056
405428.56,5015078.72,12.87481
405431.49,5015086.72,11.797
405426.81,5015083.77,12.9622
405429.53,5015093.66,12.29765
405422.69,5015089.1,13.09779
405424.21,5015097.92,14.13089
405451.02,5015123.03,15.24435
405447.77,5015120.93,11.19729
405473.7,5015070.56,11.85407
405476.72,5015075.47,7.924393
405469.32,5015071.81,15.78414
405459.57,5015071.3,17.04077
405445.67,5015066.71,10.30764
405448.04,5015070.1,9.363064
405467.2,5015083.96,11.61308
405440.71,5015067.54,12.4591
405440.26,5015072.3,12.24279
405470.38,5015092.64,10.6068
405445,5015077.34,12.25249
405457.55,5015087.93,15.07744
405460.23,5015094.52,10.64969
405442.17,5015084.25,13.56237
405455.18,5015093.53,11.34822
405468.99,5015104.27,9.811287
405459.12,5015100.31,10.56189
405440.3,5015090.79,10.72353
405455.15,5015104.78,11.60473
405464.23,5015112.43,6.47867
405439.88,5015101.71,11.371
405453.51,5015109.07,9.892015
405448.61,5015112.01,6.438198
405385.96,5015193.17,8.114102
405382.84,5015178.86,9.229691
405379.16,5015174.45,8.940951
405395.76,5015183.57,2.529216
405385.49,5015176.09,9.50597
405377.2,5015167.26,9.273038
405407.84,5015184.8,12.00425
405398.45,5015176.8,4.211569
405379.48,5015163.93,8.416487
405385.62,5015166.47,8.406848
405408.49,5015180.27,8.636479
405401.07,5015173.32,3.633405
405391.17,5015167.23,8.138932
405418.2,5015181.22,13.7127
405388.92,5015161.44,8.346798
405384.06,5015156.49,8.255939
405398.72,5015165.15,9.160583
405418.5,5015175.32,11.28971
405379.63,5015151.61,6.195965
405406.12,5015165.67,4.712687
405389.98,5015154.65,8.471138
405396.81,5015159.08,7.82105
405405.42,5015162.1,4.556459
405399.26,5015154.01,1.334189
405394.91,5015150.46,6.961766
405386.85,5015146.17,12.33968
405403.98,5015151.69,6.695905
405433.41,5015165.71,13.26047
405391.35,5015140.59,7.31765
405408.58,5015151.06,12.94065
405412.25,5015148.17,10.49995
405405.42,5015143.25,7.128102
405394.54,5015134.02,8.703116
405398.07,5015129.9,8.827374
405420.99,5015142.99,14.45902
405435.91,5015148.42,5.191809
405437.26,5015142.85,8.459787
405444.66,5015188.36,7.444536
405447.42,5015184.81,10.77745
405446.61,5015176.45,13.89396
405439.71,5015165.82,8.818449
405449.7,5015168.01,7.631781
405446.41,5015164.25,7.714092
405450.97,5015159.36,8.667034
405456.14,5015159.99,8.518863
405453.97,5015152.58,14.30727
405440.67,5015144.72,8.110471
405447.35,5015146.33,9.618665
405445.99,5015139.05,14.21613
405455.35,5015141.4,10.98331
405447.45,5015130.04,10.69127
405458.58,5015136.57,14.3086
405453.31,5015130.96,14.90974
405274.77,5015186.14,22.0675
405365.23,5015171.55,12.36445
405343.15,5015137.14,13.28773
405376.53,5015193.54,18.94672
405400.18,5015194.51,14.2794
405420.79,5015194.35,18.05778
405422.54,5015189.54,21.28324
405439.53,5015190.97,15.37279
405428.35,5015180.96,15.16562
405439.53,5015184.76,14.04304
405438.16,5015176.08,15.92013
405434.78,5015173.33,13.65011
405444.42,5015171.53,14.66604
405408.14,5015139.22,15.57361
405415.94,5015140.77,14.87873
405444.64,5015154.35,14.39814
405424.24,5015138.82,14.17611
405418.4,5015135.77,15.22586
405410.98,5015131.7,16.093
405420.89,5015132.26,14.0531
405429.02,5015132.82,15.11395
405426.15,5015127.14,15.65249
405416.51,5015120.63,14.76219
405427.24,5015121.35,15.90018
405415.86,5015110.23,14.80963
405432.07,5015117.99,15.38814
405408.67,5015102.17,15.22763
405436.03,5015117.75,15.30502
405419.23,5015105.23,12.26253
405413.06,5015099.28,15.46875
405403.14,5015086.31,17.00543
405435.97,5015105.51,14.63486
405456.79,5015115.38,13.89889
405412.15,5015089.36,15.51115
405419.76,5015094.33,15.80827
405394.58,5015076.84,17.03139
405403.56,5015079.03,17.43246
405418.14,5015083.45,15.72505
405407.48,5015078.27,16.25971
405390.82,5015066.02,14.29297
405415.91,5015080.52,16.50207
405395.61,5015068.84,15.46214
405410.07,5015074.2,17.1656
405403.25,5015068.12,17.28986
405419.9,5015078.39,16.04856
405393.92,5015059.16,15.84145
405408.99,5015064.43,15.85493
