X,Y,Z
405236.74,5015373.19,8.20278
405232.05,5015379.63,8.430317
405218.46,5015403.09,21.4034
405200.26,5015424.86,22.42868
405217.03,5015409.5,13.31662
405221.77,5015396.59,15.2379
405003.16,5015068.31,5.828036
405000.49,5015063.77,7.102778
405009,5015067.67,7.396641
405001.01,5015056.91,5.163373
405019.34,5015065.76,7.112919
405008.44,5015057.5,3.076483
405024.72,5015068.13,3.851093
405016.41,5015060.03,2.758288
405006.57,5015052.18,11.54747
405103.36,5015059.25,3.500504
405106.94,5015064.54,3.252008
405076.32,5015044.69,6.209004
405074.42,5015053.5,3.329571
405068.51,5015068.54,2.651572
405002.49,5015089.62,7.487886
405009.85,5015091.7,9.115192
405000.83,5015083.95,8.983877
405011.01,5015080.35,5.307356
405006.34,5015075.01,10.29366
405040.21,5015080.36,4.428704
405028.8,5015075.78,6.80654
405045.08,5015093.85,3.006957
405019.44,5015075.2,6.692442
405023.71,5015078.55,5.903605
405031.49,5015085.95,3.893261
405011.11,5015075.72,8.696394
405022.83,5015101.72,6.459041
405018.42,5015098.12,7.27412
405028.22,5015099.64,3.601795
405013.5,5015088.45,6.027933
405020.35,5015089,7.326743
405035.67,5015100.39,5.307391
405030.7,5015094.51,5.638906
405014.06,5015082.56,7.704051
405024.09,5015086.72,7.056666
405039.85,5015098.46,3.159014
405003.51,5015114.86,8.832147
405011.6,5015120.34,9.322663
405009.64,5015126.11,8.381367
405004.24,5015121.97,7.889356
405009.66,5015131.51,8.458716
405006.3,5015109.71,9.034568
405006.03,5015104.2,8.541325
405016.72,5015129.33,9.349799
405017.45,5015119.19,4.832746
405013.42,5015111.97,8.40254
405028.6,5015121.29,3.886758
405024.62,5015119.02,6.149429
405033.56,5015125.16,5.614589
405020.76,5015115.72,4.329403
405014.13,5015106.45,5.424169
405022.14,5015110.74,5.178079
405036.84,5015117.57,3.972455
405027.29,5015109.45,6.500096
405044.04,5015117.89,6.224661
405027.46,5015103.9,5.448212
405037.81,5015113.59,3.645082
405035.17,5015108.47,3.912593
405045.42,5015112.77,4.732007
405040.7,5015103.74,4.130121
405044.82,5015106.86,5.588461
405102.82,5015081.75,2.609474
405049.97,5015092.47,3.102568
405058.98,5015100.73,2.520657
405044.75,5015098.65,4.62068
405051.91,5015105.35,3.220364
405048.27,5015108.92,5.593738
405045.96,5015121.41,5.965549
405015.19,5015154.78,5.53335
405029.56,5015160.7,4.094485
405033.89,5015163.7,3.50803
405021.47,5015154.57,7.83376
405025.3,5015150.55,9.755746
405031.62,5015155.18,4.507908
405014.98,5015141.06,3.2221
405039.05,5015151.57,4.434805
405031.14,5015144.51,4.176664
405023.04,5015136.75,7.446845
405038.02,5015140.33,4.095178
405054.27,5015139.08,3.424862
405046.75,5015135.48,5.046812
405108.96,5015226.9,12.42293
405111.31,5015234.59,11.08697
405104.86,5015232.29,10.88676
405103.61,5015238.89,5.228908
405103.87,5015245.94,4.849197
405109.69,5015252.61,11.20989
405096.06,5015263.23,13.83548
405090.08,5015267.83,11.32241
405106.54,5015282.41,3.129612
405098.71,5015284.51,4.695802
405089.47,5015286.19,4.197618
405103.65,5015298.99,4.926285
405107.41,5015307.65,8.606538
405113.66,5015312.77,9.902596
405108.73,5015314.2,4.235552
405090.48,5015303.41,6.069559
405102.44,5015317.37,4.347188
405089.69,5015309.78,6.772554
405095.38,5015317.82,3.891611
405094.12,5015324.27,4.089398
405107.14,5015350.34,2.852562
405107.22,5015358.9,6.441943
405117,5015255.24,7.424562
405118.78,5015251.08,11.8688
405114.69,5015248,12.92685
405113.79,5015238.26,11.97359
405118.81,5015243.5,7.832764
405129.81,5015325.61,3.031166
405121.01,5015317.88,14.55255
405119.7,5015309.07,8.814144
405145.24,5015328.05,6.954622
405117.25,5015305.55,3.497265
405126.48,5015308.72,7.015333
405144.31,5015321.23,14.50896
405116.08,5015300.24,9.590744
405124.05,5015303.74,4.860256
405146.95,5015316.85,15.53478
405116.52,5015292.25,6.718777
405154.24,5015319.8,16.50841
405114.76,5015287.57,3.908564
405122.24,5015293.26,2.742524
405120.1,5015287.96,8.578577
405173.11,5015328.05,5.460498
405161.98,5015315.03,6.013458
405114.86,5015266.9,7.267491
405236.69,5015311.43,2.518567
405184.34,5015320.42,13.42844
405181.73,5015315.82,4.789839
405192.94,5015319.01,7.206249
405226.44,5015327.75,12.25625
405244.63,5015257.16,17.58941
405163.86,5015336.06,3.958801
405171.55,5015341.68,10.62108
405153.5,5015332.13,8.745866
405165.24,5015340.36,4.079357
405159.08,5015342.21,4.037216
405150.41,5015337,4.006467
405170.12,5015353.56,15.41396
405160.9,5015348.09,4.025319
405161.06,5015354.36,4.007865
405164.32,5015360.87,12.77231
405147.18,5015348.9,2.825427
405153.67,5015371.36,5.0262
405136.8,5015364.15,4.791579
405153.94,5015379.92,3.614293
405115.05,5015353.13,6.690347
405151.9,5015385.31,12.35371
405141.08,5015394.5,7.427519
405134.5,5015394.72,2.870936
405147.49,5015384.4,12.71924
405190.26,5015332.58,10.31641
405182.45,5015331.17,15.60499
405181.3,5015337.14,8.765929
405190.6,5015345.49,17.08848
405187.6,5015375.15,3.497007
405137.99,5015402.01,3.326798
405143.29,5015430.51,5.279814
405184.79,5015403.4,2.772971
405188.1,5015337.76,19.25066
405178.08,5015330.14,14.72138
405145.96,5015306.28,21.86666
405155.91,5015326.21,13.16619
405143.37,5015313.25,21.68879
405181.64,5015347.5,14.59385
405009.3,5015115.61,9.287179
405029.54,5015129.07,5.8614
405055.4,5015095.23,3.412205
405013.04,5015159.98,3.603373
405011.2,5015154.15,5.651165
405025.6,5015144.35,4.998919
405039.86,5015146.69,5.516072
405045.84,5015143.43,4.752397
405121.5,5015263.31,2.695372
405258.84,5015217.17,10.44246
405199.36,5015435.2,3.921561
405148.34,5015312,19.44564
404986.34,5015940.04,3.152256
405088.67,5015766.31,2.884581
405117.4,5015748.43,2.848914
405034.98,5015821.41,2.521172
405045.26,5015810.13,2.793336
405049.33,5015804.62,2.771014
405125.56,5015786.07,6.693213
405134.08,5015750.3,7.397579
405050.58,5015627.58,2.838647
405117.69,5015751.59,6.866601
405120.28,5015564.45,3.492377
404951.6,5015033.73,2.609147
404978.1,5015064.66,2.853565
404988.49,5015066.65,7.806391
404985.78,5015060.51,6.383336
404991.84,5015061.62,9.540759
404988,5015053.58,6.355266
404999.7,5015058.75,5.603984
404981.88,5015043.33,5.561016
404994.97,5015049.06,6.435031
404988.08,5015039.63,5.103646
404981.24,5015034.69,6.060972
404988.2,5015033.29,4.186231
404994.43,5015099.21,7.627371
404986.6,5015086.05,9.231339
404994.98,5015086.28,7.794726
404982.65,5015076.42,5.842769
404987.35,5015071.12,7.079089
404996.02,5015074.88,8.285567
404998.84,5015110.32,8.642206
404998.69,5015043.38,8.148685
404993.26,5015037.62,3.544307
